image_id,model,dice,true_positive_pixels,false_negative_pixels,false_positive_pixels,figure_path
005f19695.jpg,baseline,0.748603,4020,384,2316,results/explainability/segmentation/example_01_baseline.png
005f19695.jpg,cbam,0.747600,3932,472,2183,results/explainability/segmentation/example_01_cbam.png
005f19695.jpg,comparison,,,,,results/explainability/segmentation/example_01_comparison.png
008d0f87b.jpg,baseline,0.182497,269,1381,1029,results/explainability/segmentation/example_02_baseline.png
008d0f87b.jpg,cbam,0.231128,620,1030,3095,results/explainability/segmentation/example_02_cbam.png
008d0f87b.jpg,comparison,,,,,results/explainability/segmentation/example_02_comparison.png
00af2671f.jpg,baseline,0.726529,4972,939,2804,results/explainability/segmentation/example_03_baseline.png
00af2671f.jpg,cbam,0.720569,4964,947,2903,results/explainability/segmentation/example_03_cbam.png
00af2671f.jpg,comparison,,,,,results/explainability/segmentation/example_03_comparison.png
00ec97699.jpg,baseline,0.781106,1017,442,128,results/explainability/segmentation/example_04_baseline.png
00ec97699.jpg,cbam,0.835150,1226,233,251,results/explainability/segmentation/example_04_cbam.png
00ec97699.jpg,comparison,,,,,results/explainability/segmentation/example_04_comparison.png
012d29df4.jpg,baseline,0.872991,22057,2763,3655,results/explainability/segmentation/example_05_baseline.png
012d29df4.jpg,cbam,0.873283,21395,3425,2784,results/explainability/segmentation/example_05_cbam.png
012d29df4.jpg,comparison,,,,,results/explainability/segmentation/example_05_comparison.png
0139dd004.jpg,baseline,0.677995,399,119,260,results/explainability/segmentation/example_06_baseline.png
0139dd004.jpg,cbam,0.780018,445,73,178,results/explainability/segmentation/example_06_cbam.png
0139dd004.jpg,comparison,,,,,results/explainability/segmentation/example_06_comparison.png
